"landscape","dimension","topology","seeds","mean_final_score","mean_best_score","convergence_auc_mean","diversity_mean_pairwise_dist","diversity_position_spread","diversity_velocity_alignment","convergence_plateau_fraction_mean"
"dynamic_sphere","10D","ring","5","-1.709544","-0.502557","-0.39742","1.837549","254158.239643","0.029626","0.854545"
"dynamic_sphere","10D","von_neumann","5","-2.011869","-0.411356","-0.396026","1.527884","214266.757492","0.050902","0.862828"
"dynamic_sphere","10D","knearest","5","-2.194695","-0.5457","-0.421778","1.556849","48263.736679","0.05002","0.854545"
"dynamic_sphere","10D","global","5","-2.588333","-0.473874","-0.388278","0.967461","39199.946988","0.26258","0.864242"
"dynamic_sphere","2D","ring","5","-2.613779","-0.00088","-0.290321","0.759483","2.430177","0.018814","0.949293"
"dynamic_sphere","2D","von_neumann","5","-2.856478","-0.000901","-0.321984","0.622427","1.770207","0.04973","0.95798"
"dynamic_sphere","2D","global","5","-3.063781","-0.001288","-0.394437","0.367474","0.779296","0.168186","0.95899"
"dynamic_sphere","2D","knearest","5","-3.122679","-0.000648","-0.320927","0.598813","1.348855","0.034513","0.95697"
"rastrigin","10D","global","5","-14.926227","-14.902968","-0.327427","1.41875","76891.480325","0.371867","0.62202"
"rastrigin","10D","knearest","5","-18.415418","-18.351918","-0.400731","2.947967","555682.744595","0.060733","0.674141"
"rastrigin","10D","von_neumann","5","-19.223897","-19.030004","-0.429039","2.593422","1294311.195541","0.069406","0.693131"
"rastrigin","10D","ring","5","-20.331304","-20.212573","-0.437776","3.312978","2314769.62481","0.037026","0.677576"
"rastrigin","2D","von_neumann","5","-0.305858","-0.305858","-0.186794","0.831919","3.869007","0.058873","0.804646"
"rastrigin","2D","ring","5","-0.329458","-0.329438","-0.196082","1.168025","5.751427","0.029813","0.768485"
"rastrigin","2D","knearest","5","-0.499366","-0.499362","-0.201434","1.223646","4.306058","0.039028","0.813535"
"rastrigin","2D","global","5","-0.618149","-0.618149","-0.174452","0.566333","2.006416","0.168285","0.855556"
"sphere","10D","knearest","5","-0.135597","-0.132961","-0.190453","1.243209","24545.027303","0.072709","0.618182"
"sphere","10D","von_neumann","5","-0.141101","-0.140356","-0.173131","1.256015","148065.377444","0.069006","0.607273"
"sphere","10D","ring","5","-0.143478","-0.141247","-0.200398","1.499966","169607.598973","0.039305","0.635556"
"sphere","10D","global","5","-0.15561","-0.154925","-0.156272","0.810643","25867.401526","0.340997","0.536566"
"sphere","2D","ring","5","0","0","-0.069051","0.278887","1.461595","0.024826","0.750707"
"sphere","2D","global","5","0","0","-0.044676","0.191724","0.645029","0.067722","0.753131"
"sphere","2D","knearest","5","0","0","-0.044092","0.184253","0.61243","0.033655","0.751313"
"sphere","2D","von_neumann","5","0","0","-0.054822","0.23841","1.095234","0.027218","0.754949"
