"landscape","dimension","topology","wins_vs_global","seeds"
"sphere","2D","ring","0","5"
"sphere","2D","von_neumann","1","5"
"sphere","2D","knearest","2","5"
"sphere","10D","ring","3","5"
"sphere","10D","von_neumann","4","5"
"sphere","10D","knearest","4","5"
"rastrigin","2D","ring","5","5"
"rastrigin","2D","von_neumann","5","5"
"rastrigin","2D","knearest","3","5"
"rastrigin","10D","ring","0","5"
"rastrigin","10D","von_neumann","0","5"
"rastrigin","10D","knearest","1","5"
"dynamic_sphere","2D","ring","5","5"
"dynamic_sphere","2D","von_neumann","4","5"
"dynamic_sphere","2D","knearest","2","5"
"dynamic_sphere","10D","ring","5","5"
"dynamic_sphere","10D","von_neumann","5","5"
"dynamic_sphere","10D","knearest","5","5"
